hip,ra_deg,dec_deg,mag,name,desig
5317,17.0035,43.9421,5.04,,41 And
5336,17.0683,54.9203,5.17,Marfak,μ Cas
5346,17.0925,5.6498,5.51,,e Psc
5348,17.0962,-55.2458,3.94,Wurren,ζ Phe
5361,17.1394,58.2634,5.77,,
5364,17.1475,-10.1823,3.46,Dheneb,η Cet
5372,17.187,86.2571,4.24,,2 UMi
5434,17.3755,47.2418,4.26,,φ And
5447,17.433,35.6206,2.07,Mirach,β And
5454,17.455,19.6584,5.57,,ψ3 Psc
5493,17.5781,42.0815,5.67,,44 And
5494,17.581,25.4578,5.81,,
5510,17.6398,2.4457,5.97,,33 Cet
5518,17.6638,68.7786,5.32,,31 Cas
5542,17.7757,55.1499,4.34,Marfak,θ Cas
5544,17.7782,31.4247,5.15,,g Psc
5550,17.7928,37.7241,5.8,,45 And
5566,17.8565,64.2027,5.56,,
5571,17.8634,21.0347,4.66,,χ Psc
5586,17.9152,30.0896,4.51,,τ Psc
5589,17.9225,65.0189,5.57,,32 Cas
5594,17.9313,-2.2511,5.93,,34 Cet
5626,18.0701,79.674,5.6,,
5661,18.1893,-37.8565,5.95,,AI Scl
5737,18.4329,7.5754,5.21,Revati,ζ Psc
5742,18.4373,24.5837,4.67,,φ Psc
5778,18.5318,16.1335,5.97,,87 Psc
5799,18.6002,-7.9228,5.14,,37 Cet
5833,18.7049,-0.9738,5.7,,38 Cet
5862,18.7963,-45.5317,4.97,,ν Phe
5896,18.9423,-68.8759,4.25,,κ Tuc
5926,19.0496,71.7438,5.87,,V0762 Cas
5951,19.1512,-2.5004,5.42,,39 Cet
6061,19.4498,3.6145,5.13,,f Psc
6193,19.8666,27.2641,4.74,,υ Psc
6226,19.9512,-0.509,5.87,,42 Cet
6242,20.0205,58.2316,4.95,,φ Cas
6315,20.2807,28.7382,5.23,,l Psc
6411,20.5851,45.5288,4.87,Adhil,ξ And
6492,20.854,20.469,5.97,,
6502,20.879,-30.9456,5.84,,
6514,20.9192,37.7149,5.6,,47 And
6537,21.0059,-8.1833,3.6,Al Naymat,θ Cet
6564,21.0854,-6.9147,5.92,,
6592,21.1699,-41.4925,5.42,,
6631,21.2721,-64.3695,5.92,,
6670,21.4051,-14.5988,4.9,,46 Cet
6686,21.454,60.2353,2.66,Ruchbah,δ Cas
6692,21.4834,68.13,4.72,,ψ Cas
6706,21.5636,19.1723,5.35,,ρ Psc
6711,21.5779,43.4577,5.98,,
6732,21.6737,19.2404,5.5,,94 Psc
6748,21.7149,-13.0565,5.51,,47 Cet
6813,21.9141,45.4067,4.83,,ω And
6867,22.0914,-43.3182,3.41,,γ Phe
6960,22.4006,-21.6293,5.11,,48 Cet
6999,22.5254,47.0073,5.27,Thail,A And
7007,22.5463,6.1438,4.84,,μ Psc
7016,22.5954,-26.2079,5.92,,
7078,22.8073,70.2646,5.82,,38 Cas
7083,22.8129,-49.0727,3.93,,δ Phe
7097,22.8709,15.3458,3.62,Alpherg,η Psc
7118,22.9302,-30.2831,5.79,,
7213,23.2336,-36.8652,5.49,,
7251,23.3571,58.3273,5.69,,
7276,23.4285,-7.0253,5.75,,
7294,23.4828,59.232,4.68,,χ Cas
7321,23.5692,37.2371,5.9,,KK And
7345,23.6574,-15.6764,5.62,,49 Cet
7359,23.7044,18.4605,5.9,,
7447,23.9782,17.4338,5.95,,
7450,23.9957,-15.4002,5.41,,50 Cet
7463,24.0355,-29.9073,5.69,,τ Scl
7513,24.1993,41.4055,4.1,Titawin,υ And
7535,24.2747,12.1415,5.54,,π Psc
7568,24.3667,-84.7696,5.66,,
7588,24.4285,-57.2368,0.45,Achernar,α Eri
7601,24.4815,-82.975,5.88,,
7607,24.4982,48.6282,3.59,Nembus,51 And
7617,24.5315,57.9776,5.55,,
7643,24.6145,-36.5283,5.94,,
7650,24.6288,73.04,5.28,,40 Cas
7679,24.7158,-21.2754,5.58,,
7719,24.8375,44.3862,5.01,,χ And
7740,24.9201,16.4059,5.98,,105 Psc
7751,24.9481,-56.1964,5.76,,p Eri
7818,25.1451,40.577,4.96,,τ And
7825,25.1652,43.2977,5.63,,
7884,25.3579,5.4876,4.45,,ν Psc
7906,25.4135,30.0471,5.97,,
7916,25.4368,-11.3247,5.75,,
7918,25.4464,42.6134,4.96,,
7921,25.4499,-60.7893,5.7,,
7941,25.5125,-36.8323,5.7,,
7943,25.5145,35.2457,5.63,,
7955,25.5358,-32.327,5.25,,π Scl
7965,25.5855,68.043,5.57,,43 Cas
7978,25.6221,-53.7408,5.52,,q1 Eri
7981,25.624,20.2685,5.24,,107 Psc
7999,25.6813,-3.6902,4.98,,
8016,25.7328,70.6225,5.18,,42 Cas
8046,25.8323,60.5513,5.78,,44 Cas
8068,25.9152,50.6887,4.01,,φ Per
8102,26.017,-15.9375,3.49,,τ Cet
8198,26.3485,9.1577,4.26,Torcular,ο Psc
8209,26.4115,-25.0526,5.29,,ε Scl
8230,26.4969,-5.7333,5.37,,
8240,26.5249,-50.8163,5.49,,120 Phe
8241,26.5261,-53.522,5.04,,q2 Eri
8362,26.9368,63.8525,5.63,,V0987 Cas
8387,27.0456,16.9556,5.86,,4 Ari
8404,27.1084,3.6854,5.91,,
8423,27.1622,37.9529,5.94,,
8433,27.1732,32.6902,5.78,,
8497,27.3963,-10.6864,4.66,,χ Cet
8544,27.5357,22.2753,5.83,,1 Ari
8588,27.7166,11.0434,5.92,,54 Cet
8593,27.7268,-50.2061,5.94,,BD Phe
8598,27.738,51.9334,5.96,,
8645,27.8651,-10.335,3.74,Baten Kaitos,ζ Cet
8704,27.9972,55.1474,5.53,,1 Per
8714,28.039,50.7928,5.7,,2 Per
8778,28.2171,-16.9292,5.78,,BK Cet
8796,28.2704,29.5788,3.42,Mothallah,α Tri
8814,28.3223,40.7298,5.42,,55 And
8832,28.3826,19.2939,3.88,Mesarthim,γ1 Ari
8833,28.389,3.1875,4.61,,ξ Psc
8837,28.4114,-46.3027,4.39,,ψ Phe
8882,28.5918,-42.4969,5.12,,φ Phe
8886,28.5989,63.6701,3.35,Segin,ε Cas
8903,28.66,20.808,2.64,Sheratan,β Ari
8928,28.7339,-67.6473,4.68,,η2 Hyi
8993,28.9627,23.5773,5.76,,7 Ari
9001,28.977,37.2778,5.89,,
9007,28.9895,-51.6089,3.69,,χ Eri
9009,29.0001,68.6852,4.97,,ω Cas
9021,29.039,37.2518,5.69,,56 And
